"motor:","AeroTech M1850W"
"contributor:","Guillaume Knight"
"details:","https://www.thrustcurve.org/simfiles/65cb418f3d44850002b80b04/"

"Time (s)","Thrust (N)"
0.006,4485.5
0.025,1227.165
0.035,4485.5
0.047,1958.628
0.057,4261.83
0.063,2720.317
0.076,4068.385
0.082,3107.206
0.088,3929.346
0.104,3294.606
0.114,3747.992
0.196,3282.516
0.281,2877.491
0.341,2762.633
0.414,2708.226
0.483,2671.956
0.629,2611.504
0.752,2575.233
0.837,2551.053
0.932,2532.917
0.983,2514.782
1.043,2478.511
1.242,2369.698
1.412,2279.021
1.539,2224.615
1.709,2091.621
1.826,2085.576
1.959,2031.17
2.098,1946.538
2.215,1934.447
2.294,1867.951
2.351,1861.906
2.439,1861.906
2.487,1813.545
2.61,1795.409
2.793,1728.912
2.894,1662.416
3.008,1505.242
3.065,1408.52
3.175,1245.301
3.188,1620.1
3.197,1160.668
3.21,1432.7
3.216,1124.398
3.232,1269.481
3.248,1076.036
3.254,1184.849
3.267,1057.901
3.286,1130.443
3.308,1069.991
3.355,1027.675
3.412,930.953
3.45,870.501
3.463,791.914
3.479,1094.172
3.485,749.598
3.491,912.817
3.507,852.366
3.51,683.102
3.529,797.96
3.532,701.237
3.539,640.786
3.555,719.373
3.577,677.057
3.649,646.831
3.754,525.928
3.893,398.98
4.025,235.761
4.231,187.4
4.335,145.084
4.566,48.361
4.711,48.361
4.717,0
