"motor:","AeroTech N3300R"
"contributor:","Charles (Casey) Barker"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e90000000884/"

"Time (s)","Thrust (N)"
0.036,40.168
0.078,2887.624
0.125,3775.78
0.157,3628.498
0.2,3534.773
0.417,3597.256
0.666,3628.498
0.962,3668.666
1.197,3664.203
1.507,3655.276
1.9,3619.572
2.206,3570.478
2.423,3530.31
2.637,3423.195
3.008,3208.967
3.318,3025.98
3.617,2820.677
3.86,2646.617
3.963,2597.522
4.024,2468.093
4.091,2267.253
4.163,1896.816
4.284,1124.7
4.394,343.658
4.455,129.43
4.519,0
