"motor:","AeroTech L2200G"
"contributor:","Christopher Kobel"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e90000000535/"

"Time (s)","Thrust (N)"
0.011,1195.177
0.024,2029.903
0.037,2380.868
0.05,2542.122
0.1,2570.578
0.15,2561.093
0.2,2523.151
0.25,2485.208
0.3,2523.151
0.35,2570.578
0.4,2674.919
0.5,2912.057
0.6,3073.311
0.7,3073.311
0.8,3101.768
0.9,3092.282
1,3092.282
1.1,2959.485
1.186,2807.716
1.227,2437.781
1.27,2257.556
1.3,2162.701
1.4,1991.961
1.5,1878.135
1.6,1792.765
1.7,1688.424
1.8,1612.54
1.9,1584.083
2,1536.656
2.048,1498.714
2.084,1403.858
2.102,1166.72
2.134,796.784
2.186,455.305
2.237,237.138
2.3,94.855
2.4,0
